iter	Passed	Remaining
399	36972	147888
400	37073	147833
401	37163	147731
402	37271	147700
403	37362	147601
404	37451	147496
405	37557	147455
406	37644	147339
407	37732	147231
408	37819	147115
409	37888	146934
410	37985	146857
411	38090	146814
412	38193	146763
413	38274	146627
414	38371	146551
415	38460	146444
416	38548	146335
417	38657	146305
418	38758	146244
419	38832	146084
420	38902	145907
421	38974	145739
422	39073	145670
423	39156	145543
424	39242	145427
425	39325	145302
426	39396	145128
427	39498	145074
428	39579	144940
429	39670	144844
430	39759	144737
431	39850	144644
432	39934	144519
433	40047	144504
434	40155	144467
435	40239	144346
436	40336	144270
437	40454	144270
438	40544	144168
439	40659	144156
440	40750	144058
441	40857	144018
442	40965	143978
443	41044	143841
444	41151	143798
445	41239	143690
446	41326	143580
447	41428	143518
448	41516	143412
449	41604	143304
450	41724	143307
451	41814	143206
452	41904	143103
453	41995	143005
454	42071	142859
455	42159	142749
456	42232	142593
457	42320	142486
458	42403	142360
459	42485	142233
460	42569	142112
461	42660	142016
462	42759	141945
463	42863	141892
464	42961	141817
465	43066	141768
466	43148	141641
467	43223	141493
468	43317	141403
469	43411	141319
470	43496	141202
471	43596	141135
472	43695	141064
473	43786	140966
474	43852	140790
475	43951	140718
476	44029	140581
477	44104	140432
478	44188	140315
479	44279	140219
480	44367	140111
481	44459	140018
482	44540	139892
483	44628	139787
484	44714	139675
485	44803	139573
486	44906	139514
487	45003	139436
488	45093	139339
489	45175	139214
490	45272	139137
491	45358	139026
492	45447	138925
493	45539	138829
494	45639	138761
495	45717	138627
496	45810	138538
497	45913	138476
498	46007	138392
499	46070	138210
500	46153	138092
501	46232	137960
502	46317	137847
503	46445	137861
504	46558	137832
505	46652	137743
506	46736	137629
507	46829	137539
508	46923	137450
509	47008	137338
510	47098	137240
511	47190	137147
512	47292	137082
513	47402	137043
514	47481	136913
515	47561	136784
516	47657	136704
517	47743	136593
518	47845	136529
519	47926	136405
520	48046	136393
521	48137	136298
522	48247	136255
523	48331	136139
524	48408	136006
525	48497	135902
526	48588	135809
527	48684	135726
528	48784	135655
529	48884	135583
530	48964	135459
531	49065	135391
532	49172	135339
533	49264	135245
534	49349	135134
535	49457	135086
536	49550	134994
537	49671	134980
538	49777	134926
539	49844	134765
540	49943	134690
541	50018	134550
542	50117	134477
543	50201	134361
544	50308	134310
545	50426	134285
546	50519	134195
547	50609	134096
548	50704	134012
549	50797	133921
550	50912	133886
551	51008	133805
552	51101	133713
553	51180	133585
554	51270	133486
555	51368	133409
556	51459	133315
557	51549	133216
558	51646	133135
559	51722	133000
560	51811	132899
561	51905	132811
562	51999	132723
563	52084	132611
564	52170	132503
565	52246	132371
566	52333	132263
567	52406	132124
568	52491	132013
569	52578	131908
570	52656	131779
571	52747	131684
572	52846	131607
573	52936	131510
574	53022	131404
575	53131	131351
576	53210	131228
577	53290	131106
578	53375	130996
579	53458	130881
580	53547	130782
581	53652	130719
582	53741	130621
583	53829	130518
584	53925	130435
585	54007	130318
586	54077	130172
587	54168	130077
588	54247	129954
589	54334	129849
590	54409	129716
591	54502	129626
592	54592	129530
593	54682	129433
594	54754	129295
595	54833	129172
596	54937	129106
597	55047	129057
598	55134	128954
599	55232	128875
600	55322	128779
601	55409	128675
602	55502	128585
603	55586	128473
604	55669	128361
605	55780	128313
606	55897	128278
607	55976	128157
608	56065	128057
609	56178	128014
610	56266	127911
611	56351	127803
612	56431	127684
613	56516	127576
614	56596	127457
615	56707	127407
616	56805	127328
617	56890	127222
618	56984	127132
619	57083	127056
620	57197	127013
621	57284	126910
622	57384	126834
623	57464	126717
624	57562	126637
625	57674	126588
626	57766	126497
627	57880	126451
628	57996	126412
629	58075	126290
630	58185	126237
631	58274	126137
632	58378	126070
633	58478	125995
634	58561	125884
635	58645	125774
636	58729	125664
637	58810	125549
638	58910	125472
639	59009	125396
640	59109	125318
641	59188	125199
642	59273	125092
643	59367	125003
644	59448	124887
645	59521	124756
646	59615	124667
647	59725	124611
648	59826	124537
649	59917	124444
650	59997	124325
651	60109	124275
652	60207	124195
653	60297	124097
654	60392	124011
655	60517	123987
656	60608	123893
657	60710	123819
658	60798	123719
659	60880	123606
660	60987	123543
661	61086	123465
662	61163	123341
663	61253	123244
